,AMP_comp,C_comp,CIP_comp,CN_comp,TE_comp,SxT_comp,NA_comp
Iso02501,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02502,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02503,S_no,S_yes,S_yes,S_no,S_no,R_yes,S_yes
Iso02504,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02506,S_no,S_yes,S_yes,nodata_no,S_no,R_no,S_yes
Iso02507,S_no,S_yes,S_yes,S_no,S_no,R_yes,S_yes
Iso02508,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02509,S_no,S_yes,S_yes,S_no,S_no,R_yes,S_yes
Iso02510,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02511,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02512,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02513,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02514,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02515,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02517,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02518,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02519,I_no,S_yes,SD_yes,nodata_no,S_no,S_no,R_yes
Iso02520,S_no,S_yes,S_yes,nodata_no,S_no,R_yes,S_yes
Iso02522,I_no,S_yes,SD_yes,nodata_no,S_no,R_yes,R_yes
Iso02523,I_no,S_yes,SD_yes,S_no,S_no,R_yes,R_yes
Iso02524,I_no,S_yes,SD_yes,S_no,S_no,R_yes,R_yes
Iso02525,I_no,S_yes,SD_yes,S_no,S_no,R_yes,R_yes
Iso02527,I_no,S_yes,SD_yes,S_no,S_no,R_yes,R_yes
Iso02529,I_no,S_yes,SD_yes,nodata_no,S_no,R_yes,R_yes
Iso02532,I_no,S_yes,SD_yes,S_no,S_no,R_yes,R_yes
