File	longest	second_longest	completeness
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0004min/longreads/medaka_consensus/consensus.fasta	15345	5580	0.005048857498440102
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0005min/longreads/medaka_consensus/consensus.fasta	6134	5551	0.002819397843214939
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0006min/longreads/medaka_consensus/consensus.fasta	15081	6134	0.005118829717056476
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0007min/longreads/medaka_consensus/consensus.fasta	9225	6143	0.0037080450196428907
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0008min/longreads/medaka_consensus/consensus.fasta	15338	5553	0.005040653859016113
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0009min/longreads/medaka_consensus/consensus.fasta	12717	5547	0.004406802071756751
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0010min/longreads/medaka_consensus/consensus.fasta	5549	0	0.0013388822106974493
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0011min/longreads/medaka_consensus/consensus.fasta	22815	21812	0.010767759311010105
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0012min/longreads/medaka_consensus/consensus.fasta	50749	21830	0.017512116051578694
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0013min/longreads/medaka_consensus/consensus.fasta	76361	55806	0.031889717992656295
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0014min/longreads/medaka_consensus/consensus.fasta	118786	103758	0.0536961979991806
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0015min/longreads/medaka_consensus/consensus.fasta	147805	82498	0.055568316772437315
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0016min/longreads/medaka_consensus/consensus.fasta	147782	128346	0.06662513373138679
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0017min/longreads/medaka_consensus/consensus.fasta	120977	74050	0.04705679958653657
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0018min/longreads/medaka_consensus/consensus.fasta	134504	128340	0.06341992355173191
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0019min/longreads/medaka_consensus/consensus.fasta	146234	128331	0.06624800760139578
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0020min/longreads/medaka_consensus/consensus.fasta	147207	128279	0.06647022971638088
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0025min/longreads/medaka_consensus/consensus.fasta	299500	254414	0.13365031552644926
../../vibrio_nf/results_newtimeline_Iso02507/samples/Iso02507_0030min/longreads/medaka_consensus/consensus.fasta	384132	302762	0.16573619701474387
