File	longest	second_longest	completeness
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_10/longreads/medaka_consensus/consensus.fasta	125828	116451	0.0584579281177811
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_1/longreads/medaka_consensus/consensus.fasta	270282	144259	0.1000219085429323
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_2/longreads/medaka_consensus/consensus.fasta	245965	192974	0.1059087436801816
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_3/longreads/medaka_consensus/consensus.fasta	166850	149506	0.07633148687104023
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_4/longreads/medaka_consensus/consensus.fasta	232720	228184	0.11120853603159077
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_5/longreads/medaka_consensus/consensus.fasta	191300	107561	0.07211023182037311
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_6/longreads/medaka_consensus/consensus.fasta	315180	146285	0.11134389608208659
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_7/longreads/medaka_consensus/consensus.fasta	126594	105661	0.056039302188779255
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_8/longreads/medaka_consensus/consensus.fasta	130417	118281	0.06000672698432767
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_001pct_9/longreads/medaka_consensus/consensus.fasta	244730	123997	0.08896774570262
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_10/longreads/medaka_consensus/consensus.fasta	657314	622142	0.3087116377311436
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_1/longreads/medaka_consensus/consensus.fasta	635881	630947	0.3056647095356692
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_2/longreads/medaka_consensus/consensus.fasta	545942	506691	0.25398298758210275
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_3/longreads/medaka_consensus/consensus.fasta	552874	509379	0.2563041349720666
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_4/longreads/medaka_consensus/consensus.fasta	702201	623583	0.3198898202968656
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_5/longreads/medaka_consensus/consensus.fasta	545986	389456	0.225706731472201
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_6/longreads/medaka_consensus/consensus.fasta	1388194	680140	0.499054892481654
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_7/longreads/medaka_consensus/consensus.fasta	703224	394164	0.26478163118270903
../vibrio_nf/results_newdownsamples_rebasecall_multi_Iso02507/samples/Iso02507_002pct_8/longreads/medaka_consensus/consensus.fasta	485745	336273	0.1983393903537747
